Instance,Pisinge2007,Prins2009
Golden_01,5650.91,5644.52
Golden_02,8469.32,8444.50
Golden_03,11047.01,11036.22
Golden_04,13635.31,13624.52
Golden_05,6466.68,6460.98
Golden_06,8416.13,8412.90
Golden_07,10181.75,10195.59
Golden_08,11713.62,11643.90
Golden_09,585.14,586.18
Golden_10,748.89,744.36
Golden_11,922.70,922.40
Golden_12,1119.06,1116.12
Golden_13,864.68,860.55
Golden_14,1095.40,1084.82
Golden_15,1359.94,1352.39
Golden_16,1639.11,1634.27
Golden_17,708.90,707.79
Golden_18,1002.42,1002.15
Golden_19,1374.24,1371.67
Golden_20,1830.80,1830.98
